City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Sabha,LY,78.13,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
396,Tabuk,PH,85.62,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
399,Sterling,US,75.43,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
402,Acajutla,SV,80.22,broken clouds,13.5928,-89.8275,asi es
404,Charters Towers,AU,81.99,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
405,Bud,US,75.34,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
406,Izumo,JP,78.75,scattered clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
407,Ugoofaaru,MV,82.31,few clouds,5.6667,73.0,Ungoofaaru Inn
409,Gotsu,JP,77.14,scattered clouds,35.0,132.2167,Yurusato
410,Kailua,US,84.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
412,Tarakan,ID,81.9,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
414,Keti Bandar,PK,82.94,broken clouds,24.1447,67.4497,Haji laloo memon house
415,Bundaberg,AU,79.09,clear sky,-24.85,152.35,Takalvan Motel
416,Mozarlandia,BR,82.94,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
417,High Rock,BS,78.82,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
422,Tutoia,BR,80.13,overcast clouds,-2.7619,-42.2744,Pousada Guará's
424,Mancio Lima,BR,75.18,clear sky,-7.6142,-72.8958,Hotel e Distribuidora Voyage
425,Kieta,PG,84.99,light rain,-6.2167,155.6333,Uruna Bay Retreat
431,Bengkulu,ID,79.66,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
433,Sancti Spiritus,CU,76.33,broken clouds,21.9297,-79.4425,Hostal El Parque
434,Lamar,US,81.52,clear sky,33.6668,-95.5836,Kings Inn Paris TX
436,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
437,Mahibadhoo,MV,82.58,broken clouds,3.7833,72.9667,Omadhoo Inn
438,Upata,VE,77.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
443,Gomez Palacio,MX,87.67,clear sky,25.5667,-103.5,Comfortable house with excellent location. Come to Gomez
445,Tezu,IN,80.83,clear sky,27.9167,96.1667,Circuit House
449,Stephenville,US,82.49,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
453,Mehran,IR,76.48,clear sky,33.1222,46.1646,بوتیک زنانه بهار
454,Conway,US,76.98,overcast clouds,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
458,Tual,ID,79.77,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
460,Papetoai,PF,80.19,light rain,-17.4961,-149.8729,Fare Vaihere
463,Chiang Klang,TH,85.33,broken clouds,19.2938,100.8617,Sangthong Resort
468,Amalner,IN,76.33,overcast clouds,21.05,75.0667,Government Rest House
469,Katsuura,JP,82.44,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
471,Namatanai,PG,85.05,light rain,-3.6667,152.4333,Seagulls Inn Namatani
473,Maningrida,AU,85.35,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
475,Kingman,US,86.77,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
477,Sur,OM,80.67,clear sky,22.5667,59.5289,Sur Plaza Hotel
478,Byron Bay,AU,78.91,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
480,Lawrenceburg,US,75.09,clear sky,38.0373,-84.8966,Best Western Lawrenceburg Inn
484,Nagram,IN,84.25,clear sky,26.6167,81.1333,Yadav Beej Bhandar
489,Kutum,SD,76.06,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
490,Veraval,IN,80.44,overcast clouds,20.9,70.3667,Lords Inn Somnath
497,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
498,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
506,Kijang,KR,78.53,clear sky,35.2442,129.2139,Samyang Beach Villa
509,Honiara,SB,87.28,scattered clouds,-9.4333,159.95,Heritage Park Hotel
520,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
521,Marsh Harbour,BS,82.94,few clouds,26.5412,-77.0636,Abaco Beach Resort
526,Effingham,US,80.83,overcast clouds,32.3669,-81.3332,Countryside Village
527,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
530,Daru,PG,78.33,overcast clouds,-9.0763,143.2092,Daru Lodge
533,Tonantins,BR,76.08,broken clouds,-2.8731,-67.8022,Hotel Rei Davi
535,Kudat,MY,85.93,few clouds,6.8837,116.8477,Dream Garden Hotel
542,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
544,Itarema,BR,78.44,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
546,Shaoyang,CN,86.56,clear sky,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
547,Catuday,PH,83.71,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
555,Culpeper,US,75.15,clear sky,38.5004,-77.9664,Loose Lodge
556,Jaciara,BR,81.91,clear sky,-15.9653,-54.9683,Taba Hotel
558,Mogadishu,SO,76.98,scattered clouds,2.0371,45.3438,Hotel Juba
562,Lingao,CN,86.16,few clouds,19.9103,109.6859,Lingao Ditai Inn
565,Dongargaon,IN,76.41,overcast clouds,20.9667,80.85,S r farmhouse
566,Guayaramerin,BO,80.22,broken clouds,-10.8368,-65.3614,Hostal Funf
567,Muroto,JP,86.04,clear sky,33.2833,134.15,Oota Ryokan
574,Lorengau,PG,83.8,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
576,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
579,Fukue,JP,79.16,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
580,Mach,PK,82.31,scattered clouds,29.8637,67.3298,Naqeebullah hotel mach نقیب اللہ ہوٹل مچھ
586,Bargur,IN,78.3,overcast clouds,12.5424,78.3539,Shiva hotel
587,Emerald,AU,80.74,clear sky,-23.5333,148.1667,The Irish Village
588,Bull Savanna,JM,77.77,broken clouds,17.8868,-77.5902,Big Red's
589,Karratha,AU,85.78,clear sky,-20.7377,116.8463,ibis Styles Karratha
591,Mecca,SA,85.03,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
594,Patti,IN,82.35,clear sky,31.2808,74.8572,SOKHI NIWAS
597,Casas Grandes,MX,78.46,broken clouds,30.3667,-107.95,Pueblo del Soul B&B
598,Sanbu,CN,78.75,clear sky,33.4594,119.1453,Feiyang Hotel
600,Miyakonojo,JP,80.22,broken clouds,31.7333,131.0667,APA HOTEL MIYAZAKI-MIYAKONOJO-EKIMAE
603,Contamana,PE,80.76,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
611,Pyapon,MM,81.5,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
614,Sukumo,JP,81.5,scattered clouds,32.9333,132.7333,Sukumojo
617,Marawi,PH,77.65,broken clouds,7.9986,124.2928,Derogongan Residence
618,Mamallapuram,IN,82.45,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
623,Chas,IN,80.6,overcast clouds,23.6333,86.1667,Hotel Vaibhav
625,Mitchell,US,78.78,clear sky,43.7094,-98.0298,Kelly Inn & Suites
628,Maine-Soroa,NE,83.16,broken clouds,13.2114,12.0241,Complexe
629,The Valley,AI,82.81,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
632,Srandakan,ID,82.69,scattered clouds,-7.9386,110.2506,Puri Brata
645,Eyl,SO,78.53,overcast clouds,7.9803,49.8164,Amiin Hotel
652,Tomatlan,MX,76.86,overcast clouds,19.9333,-105.25,El Salvial
655,Nouakchott,MR,80.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
658,Seoul,KR,80.17,clear sky,37.5683,126.9778,롯데호텔 서울
659,Dhidhdhoo,MV,82.08,broken clouds,6.8833,73.1,Dhidhoo beach
660,Morant Bay,JM,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
661,Jishou,CN,83.44,few clouds,28.3167,109.7167,7 Days Inn
665,Victoria Point,AU,85.68,broken clouds,-27.5833,153.3,Bay Retreat Motel
669,Carupano,VE,77.77,broken clouds,10.6678,-63.2585,Hotel La dorada
671,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
673,Hondo,JP,82.35,clear sky,32.45,130.2,ホテル河丁
681,Lazaro Cardenas,MX,79.36,overcast clouds,17.9583,-102.2,quinta antigua
