City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Bartica,GY,6.4,-58.6167,75.52,87,100,2.55,overcast clouds
141,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,0.0,few clouds
142,Uyuni,BO,-20.4597,-66.825,50.99,45,51,11.23,broken clouds
143,Mpulungu,ZM,-8.7623,31.1141,76.64,52,12,7.92,few clouds
144,Hermanus,ZA,-34.4187,19.2345,49.8,77,3,4.54,clear sky
145,San Patricio,US,28.017,-97.5169,84.83,66,0,6.98,clear sky
146,Iquique,CL,-20.2208,-70.1431,59.04,79,86,3.18,overcast clouds
147,Iqaluit,CA,63.7506,-68.5145,33.53,93,90,5.75,overcast clouds
148,Kargopol,RU,61.5071,38.9456,37.51,75,100,3.27,overcast clouds
149,Pijijiapan,MX,15.7011,-93.23,78.42,91,72,2.75,broken clouds
150,Deer Lake,CA,49.1667,-57.4316,60.66,94,75,6.91,broken clouds
151,Barinas,VE,8.6226,-70.2075,64.09,91,95,2.84,overcast clouds
152,Cabo San Lucas,MX,22.8909,-109.9124,85.51,76,20,1.99,few clouds
153,Saint-Philippe,RE,-21.3585,55.7679,67.55,76,99,16.84,overcast clouds
154,Karak,JO,31.1667,35.75,57.92,69,0,4.16,clear sky
155,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,75,11.5,light rain
156,San Vicente,AR,-26.6167,-54.1333,67.35,96,23,3.51,few clouds
157,Blackfoot,US,43.1905,-112.345,74.77,28,72,17.45,broken clouds
158,Merauke,ID,-8.4667,140.3333,82.29,70,100,12.06,overcast clouds
159,Oranjemund,NA,-28.55,16.4333,53.67,90,36,10.63,scattered clouds
160,San Policarpo,PH,12.1791,125.5072,82.36,79,100,4.0,overcast clouds
161,Dudinka,RU,69.4058,86.1778,39.13,94,100,10.36,light rain
162,Kruisfontein,ZA,-34.0033,24.7314,49.89,80,2,5.23,clear sky
163,Amapa,BR,1.0,-52.0,71.51,98,100,2.48,overcast clouds
164,Junction City,US,39.0286,-96.8314,78.66,71,1,3.0,clear sky
165,Guerrero Negro,MX,27.9769,-114.0611,69.89,80,12,18.28,few clouds
166,Anloga,GH,5.7947,0.8973,77.11,86,84,9.31,broken clouds
167,Kermanshah,IR,34.3142,47.065,54.5,35,0,0.0,clear sky
168,Sungurlu,TR,40.1675,34.3739,64.96,48,78,3.13,broken clouds
169,Mahebourg,MU,-20.4081,57.7,69.26,88,75,11.5,light rain
170,Zyryanovsk,KZ,49.7386,84.2719,48.61,81,62,0.09,broken clouds
171,Port Lincoln,AU,-34.7333,135.8667,64.31,46,9,26.04,clear sky
172,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.04,53,11,0.85,few clouds
173,Dourbali,TD,11.8091,15.8632,77.34,77,62,6.6,broken clouds
174,Puerto Ayacucho,VE,5.6639,-67.6236,75.83,90,96,3.98,overcast clouds
175,Deputatskiy,RU,69.3,139.9,24.64,96,100,18.54,light snow
176,Half Moon Bay,US,37.4636,-122.4286,69.08,86,90,5.75,fog
177,Kenai,US,60.5544,-151.2583,57.29,58,1,8.05,clear sky
178,Manokwari,ID,-0.8667,134.0833,82.83,70,95,7.85,overcast clouds
179,Jacareacanga,BR,-6.2222,-57.7528,71.74,92,15,1.74,few clouds
180,San Ignacio,BZ,17.1561,-89.0714,77.14,94,0,0.0,clear sky
181,Nuristan,AF,35.3,70.8333,46.81,42,0,2.73,clear sky
182,Wajir,KE,1.7471,40.0573,74.35,70,10,14.5,clear sky
183,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,71,87,6.08,overcast clouds
184,Butembo,CD,0.15,29.2833,56.91,98,99,1.36,overcast clouds
185,Sept-Iles,CA,50.2001,-66.3821,56.05,69,75,1.99,broken clouds
186,Qaqortoq,GL,60.7167,-46.0333,41.5,97,100,6.26,light rain
187,Leshukonskoye,RU,64.8989,45.7622,38.41,79,100,6.29,overcast clouds
188,Melbourne,US,28.0836,-80.6081,81.01,92,75,0.0,light intensity drizzle
189,New Bern,US,35.1085,-77.0441,77.99,97,1,3.44,clear sky
190,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.72,95,94,2.77,overcast clouds
191,New Richmond,US,45.123,-92.5366,71.89,55,1,9.22,clear sky
192,Inirida,CO,3.8653,-67.9239,73.98,96,100,1.23,overcast clouds
193,San Rafael,AR,-34.6177,-68.3301,62.8,33,0,8.72,clear sky
194,Constantine,DZ,36.365,6.6147,67.41,88,0,2.3,clear sky
195,Castro,BR,-24.7911,-50.0119,64.36,86,52,2.48,broken clouds
196,Shihezi,CN,44.3,86.0333,77.94,19,20,5.68,few clouds
197,Beidao,CN,34.5686,105.8933,65.88,73,1,0.6,clear sky
198,Batagay,RU,67.6333,134.6333,31.69,91,100,5.14,light snow
