City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Taseyevo,RU,2021-09-16 15:12:19,57.2169,94.8978,44.33,90,100,4.83
164,Mehamn,NO,2021-09-16 15:12:20,71.0357,27.8492,46.58,65,0,9.22
165,Half Moon Bay,US,2021-09-16 15:12:21,37.4636,-122.4286,59.23,86,90,8.05
166,Zhuzhou,CN,2021-09-16 15:12:21,27.8333,113.15,78.87,66,7,1.97
167,Amlame,TG,2021-09-16 15:12:21,7.4667,0.9,78.55,85,99,3.02
168,Villarrubia De Los Ojos,ES,2021-09-16 15:12:22,39.2209,-3.608,75.13,40,42,3.04
169,Sao Filipe,CV,2021-09-16 15:08:59,14.8961,-24.4956,81.09,77,87,8.05
170,Ahipara,NZ,2021-09-16 15:09:00,-35.1667,173.1667,57.2,95,72,12.84
171,Chokurdakh,RU,2021-09-16 15:12:22,70.6333,147.9167,35.04,89,87,8.03
172,Georgetown,MY,2021-09-16 15:12:23,5.4112,100.3354,84.13,82,20,0.0
173,Songjianghe,CN,2021-09-16 15:12:23,42.1859,127.479,55.53,98,100,1.45
174,Umm Lajj,SA,2021-09-16 15:12:24,25.0213,37.2685,83.7,68,0,13.8
175,Makakilo City,US,2021-09-16 15:12:24,21.3469,-158.0858,77.32,81,20,4.61
176,Sola,VU,2021-09-16 15:08:34,-13.8833,167.55,77.77,81,25,11.32
177,Palauig,PH,2021-09-16 15:12:25,15.435,119.9045,80.55,76,100,6.69
178,Oskarshamn,SE,2021-09-16 15:12:25,57.2645,16.4484,58.8,96,100,19.77
179,Bahir Dar,ET,2021-09-16 15:12:25,11.5936,37.3908,69.93,71,56,2.55
180,Ternate,ID,2021-09-16 15:12:26,0.8,127.4,80.1,79,100,3.13
181,Karratha,AU,2021-09-16 15:12:26,-20.7377,116.8463,72.59,64,16,13.04
182,Hualmay,PE,2021-09-16 15:12:26,-11.0964,-77.6139,64.47,73,42,8.05
183,Tabas,IR,2021-09-16 15:12:27,33.5959,56.9244,91.08,7,0,4.45
184,Flin Flon,CA,2021-09-16 15:12:27,54.7682,-101.865,50.38,52,64,15.21
185,Ketchikan,US,2021-09-16 15:12:28,55.3422,-131.6461,50.47,87,90,3.44
186,Mahina,PF,2021-09-16 15:12:28,-17.5065,-149.489,73.17,83,20,3.44
187,Beloha,MG,2021-09-16 15:12:28,-25.1667,45.05,75.02,47,0,10.0
188,Airai,TL,2021-09-16 15:12:29,-8.9266,125.4092,59.45,82,67,3.11
189,Lompoc,US,2021-09-16 15:12:29,34.6391,-120.4579,58.08,88,90,0.0
190,Verkhnetulomskiy,RU,2021-09-16 15:12:30,68.6073,31.7962,39.33,80,100,3.56
191,Richards Bay,ZA,2021-09-16 15:12:30,-28.783,32.0377,64.74,87,100,5.86
192,Upernavik,GL,2021-09-16 15:10:13,72.7868,-56.1549,27.45,65,61,6.17
193,Yurimaguas,PE,2021-09-16 15:12:31,-5.9,-76.0833,84.7,60,71,3.2
194,Cabedelo,BR,2021-09-16 15:12:31,-6.9811,-34.8339,86.67,68,12,17.43
195,Vallenar,CL,2021-09-16 15:12:32,-28.5708,-70.7581,72.43,27,0,4.5
196,Gornopravdinsk,RU,2021-09-16 15:09:06,60.05,69.9,47.46,94,99,7.58
197,Fairbanks,US,2021-09-16 15:12:32,64.8378,-147.7164,36.61,83,90,0.0
198,Salamanca,ES,2021-09-16 15:12:33,40.8333,-6.0,77.0,43,37,4.59
199,Alghero,IT,2021-09-16 15:12:33,40.5589,8.3181,82.49,65,0,5.75
200,Doha,QA,2021-09-16 15:08:07,25.2867,51.5333,100.71,55,0,9.22
201,Hamilton,US,2021-09-16 15:12:34,39.1834,-84.5333,74.05,88,90,1.01
202,Abu Kamal,SY,2021-09-16 15:12:34,34.4506,40.9171,89.65,28,0,5.75
203,Xining,CN,2021-09-16 15:12:35,36.6167,101.7667,56.39,76,100,0.31
204,Padang,ID,2021-09-16 15:09:35,-0.9492,100.3543,80.65,88,83,3.94
205,Portland,US,2021-09-16 15:12:36,45.5234,-122.6762,50.11,86,1,1.01
206,Anadyr,RU,2021-09-16 15:12:36,64.75,177.4833,40.78,94,100,7.94
207,Altamont,US,2021-09-16 15:12:36,42.2068,-121.7372,49.89,68,1,5.01
208,Timiryazevskiy,RU,2021-09-16 15:12:37,56.49,84.8769,56.35,84,100,6.44
